sample,250000,length,32768                                                                        
Time(ns),Vol(V),Vol(V)
00000000.000000,4.325386,-0.396504
00004000.000000,4.325386,-0.396504
00008000.000000,4.213579,-0.396504
00012000.000000,4.213579,-0.283496
00016000.000000,4.213579,-0.396504
00020000.000000,4.213579,-0.396504
00024000.000000,4.325386,-0.396504
00028000.000000,4.325386,-0.396504
00032000.000000,4.213579,-0.396504
00036000.000000,4.213579,-0.396504
00040000.000000,4.325386,-0.396504
00044000.000000,4.325386,-0.396504
00048000.000000,4.213579,-0.396504
00052000.000000,4.213579,-0.396504
00056000.000000,4.213579,-0.396504
00060000.000000,4.213579,-0.396504
00064000.000000,4.325386,-0.396504
00068000.000000,4.213579,-0.283496
00072000.000000,4.325386,-0.396504
00076000.000000,4.325386,-0.396504
00080000.000000,4.325386,-0.396504
00084000.000000,4.213579,-0.396504
00088000.000000,4.213579,-0.509513
00092000.000000,4.437192,-0.396504
00096000.000000,4.325386,-0.396504
00100000.000000,4.213579,-0.396504
00104000.000000,4.213579,-0.396504
00108000.000000,4.213579,-0.509513
00112000.000000,4.325386,-0.396504
00116000.000000,4.325386,-0.509513
00120000.000000,4.325386,-0.283496
00124000.000000,4.325386,-0.396504
00128000.000000,4.325386,-0.396504
00132000.000000,4.325386,-0.396504
00136000.000000,4.325386,-0.283496
00140000.000000,4.213579,-0.283496
00144000.000000,4.213579,-0.396504
00148000.000000,4.213579,-0.396504
00152000.000000,4.325386,-0.396504
00156000.000000,4.325386,-0.396504
00160000.000000,4.325386,-0.396504
00164000.000000,4.325386,-0.396504
00168000.000000,4.325386,-0.396504
00172000.000000,4.213579,-0.396504
00176000.000000,4.213579,-0.396504
00180000.000000,4.213579,-0.396504
00184000.000000,4.325386,-0.283496
00188000.000000,4.213579,-0.396504
00192000.000000,4.325386,-0.509513
00196000.000000,4.325386,-0.396504
00200000.000000,4.213579,-0.396504
00204000.000000,4.213579,-0.396504
00208000.000000,4.325386,-0.396504
00212000.000000,4.213579,-0.396504
00216000.000000,4.325386,-0.509513
00220000.000000,4.213579,-0.396504
00224000.000000,4.213579,-0.396504
00228000.000000,4.213579,-0.396504
00232000.000000,4.213579,-0.396504
00236000.000000,4.325386,-0.509513
00240000.000000,4.213579,-0.509513
00244000.000000,4.213579,-0.396504
00248000.000000,4.213579,-0.396504
00252000.000000,4.325386,-0.396504
00256000.000000,4.213579,-0.396504
00260000.000000,4.213579,-0.396504
00264000.000000,4.325386,-0.396504
00268000.000000,4.325386,-0.509513
00272000.000000,4.213579,-0.396504
00276000.000000,4.213579,-0.396504
00280000.000000,4.325386,-0.396504
00284000.000000,4.213579,-0.396504
00288000.000000,4.213579,-0.509513
00292000.000000,4.325386,-0.396504
00296000.000000,4.325386,-0.283496
00300000.000000,4.325386,-0.396504
00304000.000000,4.213579,-0.283496
00308000.000000,4.325386,-0.283496
00312000.000000,4.213579,-0.396504
00316000.000000,4.213579,-0.396504
00320000.000000,4.213579,-0.283496
00324000.000000,4.213579,-0.396504
